TimePeriod,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Réunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Botswana,Eswatini,Lesotho,Namibia,South Africa,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Afghanistan,Bangladesh,Bhutan,India,Iran (Islamic Republic of),Maldives,Nepal,Pakistan,Sri Lanka,China,"China, Hong Kong SAR","China, Macao SAR","China, Taiwan Province of China",Dem. People's Republic of Korea,Japan,Mongolia,Republic of Korea,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cuba,Curaçao,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Puerto Rico,Saint Lucia,Saint Vincent and the Grenadines,Trinidad and Tobago,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Australia,New Zealand,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Guam,Kiribati,Micronesia (Fed. States of),French Polynesia,Samoa,Tonga,Belarus,Bulgaria,Czechia,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Channel Islands,Denmark,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Sweden,United Kingdom,Albania,Bosnia and Herzegovina,Croatia,Greece,Italy,Malta,Montenegro,North Macedonia,Portugal,Serbia,Slovenia,Spain,Austria,Belgium,France,Germany,Luxembourg,Netherlands,Switzerland,Canada,United States of America
1950-1955,6.801,6.0,6.312,6.965,7.1696,7.481,7.3,6.85,5.895,7.91,6.3415,6.9294,8.0,5.0,7.25,6.65,6.9,6.74,6.7,6.8,6.0,5.489,5.516,6.1,5.684,5.98,5.666,3.987,6.2,6.5,6.7,5.84,6.0,6.05,5.857,6.1035,6.5663,7.4513,6.35,6.442,6.0,5.9,6.2714,6.95,6.3378,7.3,6.3544,6.8,6.0297,6.3344,7.278,6.75,7.1434,6.608,6.65,6.65,6.3420000000000005,4.494,5.2,6.97,3.705,2.75,7.3,4.277,7.38,7.2,5.74,7.252000000000001,6.97,7.175,7.38,7.227,6.6859,6.97,7.8,4.406000000000001,4.3607,5.4,5.3,5.3,7.45,6.359,6.67,5.903,6.9086,6.0299,5.9588,6.6,5.8,6.11,4.44,4.3858,6.72,3.4619999999999997,2.96,5.6,5.653,6.8958,6.947,5.486000000000001,5.9432,6.3487,6.0,7.4201,6.61,6.1378,6.55,5.3986,4.5,5.65,4.05,4.417,4.15,5.07,7.5995,5.8,5.61,6.3,4.22,5.71,4.97,6.0,7.33,5.3,5.2509,6.65,6.1246,6.3616,7.1196,7.497000000000001,6.75,7.2,5.7641,3.154,6.5,6.1,4.85,6.51,6.75,5.0,6.0421,6.5,6.95,6.56,2.73,6.4585,3.18,3.688,6.625,5.2231,6.2379999999999995,6.4,7.6,5.527,6.1,7.2,6.0,7.6297,7.3,2.61,2.5264,2.7383,2.6860000000000004,3.6302,3.5,3.0596,2.85,3.5022,2.81,2.056,2.5501,2.06,2.997,3.8624,3.42,2.0,2.84,2.602,2.2372,2.18,6.23,4.82,2.73,2.4795,2.355,4.145,4.3464,5.0572,3.0988,3.22,2.68,2.53,2.1046,2.365,2.7632,2.128,1.98,3.0524,2.3101,3.645,3.3110000000000004
1955-1960,6.857,6.601,6.3874,6.965,6.9023,7.785,7.3,6.9,5.895,7.91,6.3415,6.5699,8.15,5.0,7.25,6.7,6.95,6.801,6.95,7.0,6.5,5.527,5.75,6.2,5.7860000000000005,5.98,5.6526,4.2010000000000005,6.2,6.575,6.7,5.861000000000001,6.1,6.05,6.1341,6.242999999999999,6.763999999999999,7.6194,6.3,6.6391,6.0742,5.9,6.3502,6.95,6.7053,7.4,6.3544,6.9,6.0297,6.4217,7.3839999999999995,6.75,7.2,6.896,6.65,6.85,6.4239999999999995,4.9,5.6,6.97,3.498,2.909,6.202000000000001,3.8916,7.38,7.2,5.72,7.252000000000001,6.97,7.175,7.38,7.3755,6.4959,6.97,7.9,4.555,5.1993,6.199,6.2,5.9,7.45,6.6225,6.67,5.896,6.9086,6.8135,5.9588,6.6,5.8,5.48,4.72,4.81,6.1383,5.117,2.17,6.3,6.332000000000001,6.8912,6.947,5.672000000000001,5.9552,6.3791,6.0,7.2692,6.335,6.1378,6.4,6.1636,4.5,5.15,4.31,4.2969,3.7,5.1,7.6405,6.7,5.61,6.3,5.08,5.71,4.82,6.938,7.33,5.3,5.4926,6.55,6.6473,6.5973,6.9947,7.497000000000001,6.78,7.45,5.8725,3.127,6.4,6.06,4.75,6.68,6.75,4.92,6.4545,6.5,6.95,6.56,2.83,6.4585,3.406,4.07,6.792000000000001,5.2231,6.2589999999999995,6.4,7.35,5.827999999999999,6.6,7.0,5.861000000000001,7.6297,7.3,2.73,2.2969,2.3765,2.3178,3.4698,3.44,2.735,2.82,3.2427,2.7,2.222,2.5468,1.99,2.7689999999999997,4.1662,3.58,1.95,2.66,2.8369999999999997,2.247,2.49,6.5462,3.97,2.38,2.4194,2.29,3.8,3.795,4.1429,3.1216,2.57,2.3833,2.7,2.5652,2.496,2.7031,2.274,2.23,3.0974,2.3912,3.8819999999999997,3.5821
1960-1965,7.05,6.909,6.547000000000001,6.815,6.8972,8.065,7.3,7.0037,6.195,7.91,6.555,6.5632,8.2,5.59,7.25,6.75,7.05,6.8,7.25,7.3,6.9,5.805,5.9,6.3,5.989,6.04,5.6731,4.587,6.3,6.65,6.8105,5.811,6.2,6.0,6.4228,6.35,6.9728,7.7585,6.2,6.8436,6.1483,5.95,6.4695,7.0,6.7863,7.5,6.3544,7.1,6.25,6.6518,7.648,6.65,7.3,7.1,6.75,6.99,6.534,4.453,6.0,7.17,3.4360000000000004,2.93,6.598,3.8463,7.995,7.3,5.689,7.252000000000001,6.97,7.257000000000001,7.995,7.5385,6.2022,6.87,8.0,4.431,5.5534,6.8,6.8,6.5,7.45,6.803999999999999,6.6,5.89,6.9086,7.1197,5.9588,6.6,5.2,6.15,5.05,4.4077,5.4058,3.8501,2.03,7.5,5.6,6.6631,6.947,5.62,5.9673,6.365,6.1,6.9807,5.12,6.1297,6.2,6.4182,4.3,4.399,4.5,4.2731,4.681,4.399,7.3505,6.4,5.61,6.3,5.64,5.45,4.37,6.794,7.02,5.04,5.6723,6.45,6.4998,6.6665,6.8,7.417999999999999,6.75,7.2,5.79,3.09,6.3,5.97,4.58,6.64,6.65,5.02,6.15,6.45,6.88,6.56,2.9,6.18,3.2739999999999996,3.85,5.952999999999999,5.2231,6.278,6.4,7.0,6.03,6.7808,6.9,5.4381,7.6291,7.3,2.59,2.2171,2.2088,1.81,2.72,3.15,2.1044,2.55,2.911,2.1346,2.562,2.5823,1.94,2.66,3.9383,4.0133,1.8753,2.4272,2.898,2.3104,2.81,6.23,3.6830000000000003,2.218,2.2895,2.504,3.1495,3.4168,3.6509,3.1873,2.51,2.3354,2.81,2.7777,2.6466,2.8451,2.4736,2.395,3.1657,2.5972,3.675,3.2336
1965-1970,7.23,7.05,6.707000000000001,6.699,6.8691,8.11,7.3,7.2038,4.61,7.91,6.712999999999999,5.6722,8.2,5.92,7.25,6.85,7.12,6.79,7.3,7.4,7.3,6.085,5.95,6.4,6.192,6.15,5.7928,4.933,6.4,6.7,6.849,5.8,6.3,5.8,6.6491,6.5627,6.9654,7.9037,6.2,6.9514,6.21,6.0,6.5923,7.1,6.7896,7.55,6.3544,7.25,6.4135,6.937,7.648,6.45,7.992000000000001,6.85,6.861000000000001,6.92,6.6,3.447,5.4,6.97,2.795,2.8,7.4,3.7834,7.995,7.4,5.2312,7.3091,6.97,7.257000000000001,7.995,7.5598,5.7996,6.77,8.25,3.6710000000000003,5.2072,7.0,6.56,6.4,7.45,6.9206,6.6,5.7226,6.6802,7.2226,5.9588,6.6,4.7,6.3,3.645,2.7367,4.3842,4.388,2.04,7.5,4.65,5.8985,6.7034,5.568,5.9794,5.3817,6.1,6.5392,3.645,5.985,5.8,6.4649,4.0,3.301,3.58,3.5328,4.18,3.8,6.6495,4.8,5.22,6.0,5.78,5.0,3.41,6.479,6.41,3.81,5.5225,6.35,5.2603,6.3622,6.7,7.421,6.75,6.95,5.4142,3.05,6.1,5.3432,4.08,5.86,6.4,5.0,5.6967,6.15,6.55,5.945,2.8,5.7,2.8710000000000004,3.3480000000000003,5.0,5.212000000000001,6.2139999999999995,6.539,6.46,4.724,6.0397,6.9,5.199,7.3526,6.5,2.28,2.1304,1.9573,1.9776,2.3348,2.66,2.8678,2.02,2.541,2.0204,2.362,2.2723,2.02,2.191,3.2353,3.8632,1.84,2.3028,2.8,2.1701,2.57,5.2589999999999995,3.1372,2.003,2.5528,2.4989,2.1161,2.89,3.4437,3.1187,2.43,2.265,2.84,2.5689,2.3881,2.6518,2.3605,2.1919999999999997,2.7949,2.3551,2.61,2.5434
1970-1975,7.26,7.05,6.845,6.62,7.1038,7.99,7.2,7.4019,3.466,7.91,6.6753,3.875,8.283999999999999,5.3819,7.1,6.9,7.1,6.75,7.4,7.4,7.5,6.307,5.95,6.671,6.3,6.289,5.8037,5.228,6.5155,6.55,6.8660000000000005,5.8,6.6,5.5,6.8349,6.7,6.8639,7.9261,6.2,6.8975,6.2912,6.1,6.7989,7.15,6.7498,7.6,6.6094,7.25,6.565,7.1986,7.572,6.0,8.1,6.4,6.9,6.385,6.5732,3.037,4.6,5.95,2.49,2.6010000000000004,7.15,3.8069,7.79,6.75,4.6654,7.4077,6.75,7.297999999999999,7.694,7.5426,5.3931,6.45,8.5,3.6069999999999998,5.1166,6.834,6.187,6.1561,7.45,6.9098,6.6,5.4104,6.2407,7.1698,5.8662,6.6,4.0,4.85,3.01,1.7930000000000001,3.3308,4.001,2.134,7.5,4.002,5.4949,6.16,5.3,5.9915,4.715,5.7379999999999995,5.9769,2.815,5.052,5.5,6.3285,3.26,2.6510000000000002,3.54,2.7176,3.55,2.87,5.6795,4.6,4.49,5.6,5.0,4.08,2.99,5.691,5.54,3.45,4.6577,6.25,4.0588,5.9472,6.58,7.05,6.32,6.75,4.8822,3.15,5.9,4.6332,3.47,4.72,5.8001,4.18,4.9912,5.3505,6.03,5.289,3.0,4.941,2.535,2.843,4.2,5.2028,6.087000000000001,7.236000000000001,6.11,4.12,4.9973,6.9,4.8575,6.9977,5.5,2.25,2.1573,2.2108,2.0416,2.2349,2.56,2.6541,2.03,2.5067,2.0789,1.858,1.9639,2.15,1.6230000000000002,2.8679,3.7349,2.0,2.303,2.35,1.9059,2.01,4.6001,2.7332,1.976,2.5288,2.3227,2.0058,2.6179,2.8593,2.8332,2.36,2.1999,2.85,2.0369,2.0143,2.3081,1.7084,1.722,2.1001,1.8714,1.976,2.0294
1975-1980,7.4,7.05,6.644,6.62,7.1838,7.64,6.95,7.6,3.105,7.91,6.55,3.12,8.432,4.2696,7.0,6.92,7.1,6.73,7.25,7.3,7.456,6.5,5.9,6.874,6.25,6.462000000000001,5.7921,5.572,6.495,6.35,6.733,5.686,6.4643,5.05,6.9952,7.0182,6.615,7.8123,6.4,6.6878,6.4513,6.25,6.9317,7.15,6.5726,7.75,6.7629,7.25,6.6458,7.2768,7.175,5.7,7.667999999999999,5.9,6.92,5.65,6.234,2.6,3.8,5.23,2.287,2.39,6.8,3.4654,7.38,5.6,4.2337,8.1,6.1,7.278,7.504,7.3164,4.6948,5.75,8.6,3.2334,4.5921,5.897,5.6,5.4649,7.45,6.6301,6.6,4.9744,6.2799,6.8547,5.7952,6.6,3.6064,3.01,2.23,1.4079,2.7417,2.85,1.831,6.65,2.9189999999999996,4.4501,5.421,4.73,6.1535,4.2024,5.15,5.4623,1.84,3.915,5.0,5.4993,2.24,2.45,2.95,2.1568,2.15,2.45,4.76,4.3,3.52,5.8,4.0,2.65,2.76,5.2,4.42,3.24,3.4884,6.2,3.7039999999999997,5.4428,6.46,6.6,5.33,6.35,4.1869,3.4,5.65,4.2372,2.94,4.16,5.05,3.3,4.0569,5.2,5.37,4.203,2.89,4.4685,1.989,2.178,4.0,3.9055,5.871,7.041,5.75,3.516,5.1,6.4,4.229,6.4889,5.5,2.09,2.1927,2.3588,2.25,2.2285,2.44,2.5483,1.94,2.464,1.9798,1.5230000000000001,1.6816,2.06,1.663,2.4472,3.2489999999999997,1.8894,2.1042,1.81,1.6646,1.73,3.9,2.27,1.8986,2.42,1.8856,2.1176,2.306,2.5402,2.5486,2.37,2.1632,2.55,1.6513,1.7049,1.8608,1.508,1.486,1.5982,1.5388,1.734,1.7718
1980-1985,7.38,7.05,6.45,6.7,7.4247,7.216,6.5,7.6,2.3015,7.3504,6.4,2.7765,8.375,3.5077,7.07,6.7829999999999995,7.1,6.55,6.9,6.3018,7.456,6.702000000000001,5.9,7.037000000000001,5.8,6.5975,5.8925,5.721,6.2372,5.95,6.565,5.4159,6.2,4.899,7.0087,7.1722,6.1,7.3125,6.3,6.3494,6.5889999999999995,6.6982,6.9555,7.15,6.3,7.9,6.7559,7.25,6.7219,7.0567,6.315,5.49,6.6806,5.4,6.63,4.82,5.3321,2.5,3.3,4.63,2.449,2.269,6.35,3.1341,7.0485,5.0,3.7477,8.3166,5.45,7.015,7.0491,6.767,4.1106,5.3,8.8,3.0442,4.1969,5.6,4.79,4.8,7.45,5.9773,6.35,4.6816,6.5339,7.2575,5.6202,6.444,3.1894,2.52,1.715,2.06,2.2325,2.801,1.7619999999999998,5.75,2.234,3.7903,6.37,4.109,6.3601,3.9682,4.6,4.9215,1.694,2.945,5.5,4.6002,2.14,2.358,3.05,1.9181,1.85,2.25,4.07,4.23,2.55,6.21,3.55,2.14,2.46,4.2,3.64,3.28,2.9711,5.4,3.5009,4.7457,6.1561,5.9995,4.37,5.85,3.6272,3.15,5.3,3.8009,2.625,3.58,4.45,3.58,3.6425,5.12,4.73,3.7,2.57,3.957,1.91,1.9727,3.8,3.3399,5.474,6.431,5.4,3.08,5.0,6.0,3.815,5.9103,5.5,2.088,2.0149,1.966,1.8075,2.3135,2.55,2.2153,2.04,2.271,2.004,1.439,1.4273,2.09,1.685,2.2251,2.8306,2.0293,2.0385,1.6869999999999998,1.6435,1.775,3.409,2.02,1.8659999999999999,2.06,1.5245,1.9680000000000002,2.2119999999999997,2.454,2.0084,2.32,1.9280000000000002,1.88,1.5957,1.5959,1.8646,1.4637,1.465,1.5149,1.5390000000000001,1.6340000000000001,1.8044
1985-1990,7.46,6.7,6.181,6.6,7.3673,6.537999999999999,6.25,7.25,2.3118,6.727,6.3,2.713,7.8,2.9377,7.26,6.83,7.1,6.36,6.6,5.3732,7.4,6.598,5.9,7.212000000000001,5.3,6.7069,5.9823,5.577000000000001,5.9594,4.9,5.49,4.9773,5.547000000000001,4.4,6.8818,7.0658,5.6344,6.85,6.15,5.8817,6.6321,6.6834,6.7229,7.15,6.05,7.8,6.6035,6.7,6.7219,6.5,5.3020000000000005,5.0,5.712000000000001,4.43,6.3,4.0019,4.6,2.6,3.2,4.08,2.428,2.263,6.0895,3.0701,6.0232,3.65,3.5,7.8479,4.4,6.2170000000000005,6.7573,5.872999999999999,3.3874,4.9,8.8,3.033,4.0584,5.5,4.55,4.4001,7.4689,4.9834,5.9,4.2656,5.62,6.6645,5.3293,6.2967,2.6439999999999997,2.73,1.3562,2.0,1.7675,2.358,1.65,4.8407,1.567,3.4679,5.9896,3.4,6.2668,3.6666,3.78,4.5271,1.6974,2.3,5.4,3.8497,2.07,2.3,2.65,1.7744,1.85,2.3,3.58,4.14,2.45,5.7,3.1,2.14,2.26,3.65,3.1,2.75,3.0216,4.7,3.4058,4.1669,5.5769,5.37,3.75,5.0,3.2383,3.053,5.07,3.1442,2.595,3.17,3.97,3.73,3.1262,4.77,4.2,3.364,2.53,3.6485,1.859,2.0311,3.47,3.1152,4.966,6.125,5.04,3.139,4.8,5.2,3.6447,5.3533,4.7363,2.0754,1.9458,1.9008,1.8222,2.1624,2.64,2.2662,2.121,2.1537,1.95,1.45,1.5426,2.199,1.66,2.1196,2.2576,2.16,2.0554,1.8,1.9087,1.835,3.15,1.861,1.72,1.5326,1.3497,2.028,2.106,2.2729,1.6205,2.23,1.6517,1.46,1.4480000000000002,1.56,1.8043,1.4295,1.469,1.5546,1.547,1.6159999999999999,1.9146
1990-1995,7.3,6.1,5.85,6.3,7.0888,5.65,6.1,6.5,2.2465,5.25,6.1,2.405,6.553999999999999,2.5734,7.531000000000001,6.65,7.063,6.05,6.3,4.415,7.1,6.2170000000000005,5.7,7.388,5.0,6.7689,5.9703,5.2527,5.6823,4.1315,4.784,4.4551,4.8915,3.5069999999999997,6.5629,6.932,5.0536,6.41,6.05,5.3426,6.5137,6.5,6.274,7.15,5.72,7.75,6.3697,6.2,6.6858,5.9,4.12,4.15,4.215,3.7,6.0,2.98,4.0,2.38,2.9,3.4,2.3293,2.05,5.6457,2.9333,5.0585,2.55,3.2,6.2743,3.74,5.55,6.6031,4.8041,2.8982,3.925,8.2,2.55,3.6377,4.877,4.03,3.95,7.482,4.0605,5.0,3.833,3.7,5.1593,4.9701,5.9625,2.3839,1.83,1.26,1.405,1.7583,2.25,1.476,3.2724,1.6764,3.0786,5.1276,2.9,5.8833,3.4362,3.2,4.1385,1.7307,1.9921,5.6,3.2272,2.09,2.1739,2.64,1.73,1.584,2.28,3.27,3.46,2.1,5.15,2.84,1.962,2.18,3.15,2.85,2.18,2.7945,4.3469999999999995,3.0669999999999997,3.7818,5.3107,4.916,3.23,4.2,2.92,2.9139999999999997,4.68,2.72,2.52,3.01,3.55,4.05,3.0847,4.3095,3.62,3.1891,2.49,3.25,1.8628,2.0669999999999997,3.35,2.9201,4.703,5.532,4.83,2.88,4.553,4.7932,3.1095,4.9223,4.615,1.6769,1.5527,1.6455,1.7402,1.9479,2.1109999999999998,1.5058,1.545,1.8667,1.6208,1.5227,1.7480000000000002,1.6269999999999998,1.819,2.1908,1.9569999999999999,1.6322,1.8159999999999998,1.886,2.006,1.775,2.786,1.703,1.5230000000000001,1.3774,1.2715,2.011,2.045,2.1215,1.48,1.96,1.3335,1.28,1.4837,1.6119,1.7145,1.3007,1.663,1.5923,1.5390000000000001,1.694,2.0297
1995-2000,7.05,5.6,4.812,5.6,6.8335,5.35,5.801,6.2,2.0332,5.08,5.85,2.3279,5.9,2.178,7.7,6.42,6.946000000000001,5.75,6.1,3.885,6.75,5.75,5.55,7.407,4.9,6.77,5.9361,4.766,5.3,3.4913,4.1385,3.9576,4.2601,2.8763,6.1566,6.7293,3.9377,6.05,5.95,5.0189,6.2354,6.0471,6.0481,6.95,5.52,7.7,6.1703,5.7,6.4779,5.5448,2.885,3.6,3.2,2.965,5.65,2.3435,3.4,1.75,2.25,2.95,1.8891,1.72,5.1882,2.9325,4.303999999999999,3.0,2.65,4.4639999999999995,3.46,4.4,5.8052,4.3,2.6477,2.97,6.8,2.0,2.9582,4.29,3.03,3.1,7.6537,3.4318,4.0,3.4829,2.4,3.3929,4.4066,5.374,2.2431,1.62,1.06,1.1159999999999999,1.6675,2.01,1.369,2.3957,1.5005,2.5076,4.25,2.55,4.8064,3.1251,2.95,3.9,1.5705,1.7668,5.8,2.2493,2.2,1.9531,2.3275,1.74,1.6121,2.13,2.95,2.8144,2.1,4.62,2.7,1.9,1.985,2.6,2.55,1.82,2.1936,3.85,2.6139,3.3395,4.8288,4.5612,2.85,3.4,2.8134,2.63,4.25,2.47,2.199,2.7,3.27,3.9265,3.0549,3.88,3.05,2.9633,2.3,2.9415,1.7866,1.9525,3.19,2.5858,4.637,4.905,4.59,2.88,4.198,4.5275,2.6133,4.6203,4.2912,1.3113,1.2008,1.167,1.3784,1.5147,1.7,1.3163,1.247,1.401,1.2404,1.5848,1.756,1.331,1.743,2.0558,1.9025,1.1722,1.4716,1.8619999999999999,1.5589,1.735,2.3841,1.68,1.62,1.3056,1.2239,1.849,1.91,1.8262,1.455,1.8312,1.2483,1.187,1.3879,1.6041,1.7616,1.3456,1.7213,1.5991,1.484,1.5619999999999998,1.9965
