"AD","DOY","Date"
801,NA,NA
802,NA,NA
803,NA,NA
804,NA,NA
805,NA,NA
806,NA,NA
807,NA,NA
808,NA,NA
809,NA,NA
810,NA,NA
811,NA,NA
812,92,"04-01"
813,NA,NA
814,NA,NA
815,105,"04-15"
816,NA,NA
817,NA,NA
818,NA,NA
819,NA,NA
820,NA,NA
821,NA,NA
822,NA,NA
823,NA,NA
824,NA,NA
825,NA,NA
826,NA,NA
827,NA,NA
828,NA,NA
829,NA,NA
830,NA,NA
831,96,"04-06"
832,NA,NA
833,NA,NA
834,NA,NA
835,NA,NA
836,NA,NA
837,NA,NA
838,NA,NA
839,NA,NA
840,NA,NA
841,NA,NA
842,NA,NA
843,NA,NA
844,NA,NA
845,NA,NA
846,NA,NA
847,NA,NA
848,NA,NA
849,NA,NA
850,NA,NA
851,108,"04-18"
852,NA,NA
853,104,"04-14"
854,NA,NA
855,NA,NA
856,NA,NA
857,NA,NA
858,NA,NA
859,NA,NA
860,NA,NA
861,NA,NA
862,NA,NA
863,NA,NA
864,100,"04-09"
865,NA,NA
866,106,"04-16"
867,NA,NA
868,NA,NA
869,95,"04-05"
870,NA,NA
871,NA,NA
872,NA,NA
873,NA,NA
874,NA,NA
875,NA,NA
876,NA,NA
877,NA,NA
878,NA,NA
879,NA,NA
880,NA,NA
881,NA,NA
882,NA,NA
883,NA,NA
884,NA,NA
885,NA,NA
886,NA,NA
887,NA,NA
888,NA,NA
889,104,"04-14"
890,NA,NA
891,109,"04-19"
892,108,"04-17"
893,NA,NA
894,106,"04-16"
895,104,"04-14"
896,104,"04-13"
897,NA,NA
898,NA,NA
899,NA,NA
900,NA,NA
901,NA,NA
902,102,"04-12"
903,NA,NA
904,NA,NA
905,NA,NA
906,NA,NA
907,NA,NA
908,98,"04-07"
909,NA,NA
910,NA,NA
911,NA,NA
912,95,"04-04"
913,110,"04-20"
914,NA,NA
915,NA,NA
916,NA,NA
917,95,"04-05"
918,NA,NA
919,NA,NA
920,NA,NA
921,NA,NA
922,NA,NA
923,104,"04-14"
924,NA,NA
925,NA,NA
926,98,"04-08"
927,NA,NA
928,NA,NA
929,NA,NA
930,97,"04-07"
931,NA,NA
932,NA,NA
933,106,"04-16"
934,NA,NA
935,NA,NA
936,NA,NA
937,NA,NA
938,NA,NA
939,NA,NA
940,NA,NA
941,109,"04-19"
942,NA,NA
943,NA,NA
944,NA,NA
945,NA,NA
946,NA,NA
947,NA,NA
948,NA,NA
949,107,"04-17"
950,95,"04-05"
951,NA,NA
952,NA,NA
953,NA,NA
954,NA,NA
955,89,"03-30"
956,NA,NA
957,112,"04-22"
958,109,"04-19"
959,97,"04-07"
960,101,"04-10"
961,87,"03-28"
962,NA,NA
963,94,"04-04"
964,NA,NA
965,104,"04-14"
966,98,"04-08"
967,103,"04-13"
968,NA,NA
969,98,"04-08"
970,NA,NA
971,NA,NA
972,107,"04-16"
973,NA,NA
974,108,"04-18"
975,101,"04-11"
976,NA,NA
977,112,"04-22"
978,NA,NA
979,104,"04-14"
980,NA,NA
981,NA,NA
982,NA,NA
983,NA,NA
984,NA,NA
985,94,"04-04"
986,NA,NA
987,NA,NA
988,NA,NA
989,100,"04-10"
990,NA,NA
991,104,"04-14"
992,NA,NA
993,NA,NA
994,NA,NA
995,NA,NA
996,NA,NA
997,NA,NA
998,NA,NA
999,NA,NA
1000,105,"04-15"
1001,NA,NA
